case_id,edema_center,edema_radius,sigma_fat_curve,sigma_muscle_curve,sigma_edema_curve,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,fat_scale,muscle_scale,edema_scale,estimated_edema_elements,inner_clearance,outer_clearance
case_001_v2,"(0.9090732932090759, 0.02198767475783825)",0.03641266021831475,"[0.024080883711576462, 0.025574468076229095, 0.025751672685146332, 0.025856098160147667, 0.02593204192817211, 0.02599216438829899]","[0.3366635739803314, 0.3475192189216614, 0.35742661356925964, 0.3680945932865143, 0.3793848752975464, 0.39079368114471436]","[0.04893471300601959, 0.051969822496175766, 0.05232992023229599, 0.052542123943567276, 0.05269644781947136, 0.052818626165390015]",0.024080883711576462,0.3366635739803314,0.04893471300601959,0.02485382929444313,1.0547912097111927,0.9877756879504105,1.0717195839822766,12,0.07180834332988772,0.05541998615814547
case_002_v2,"(0.898526132106781, 0.10721287876367569)",0.04056197036348872,"[0.024022364988923073, 0.025512319058179855, 0.02568909339606762, 0.02579326555132866, 0.02586902491748333, 0.025929002091288567]","[0.36032983660697937, 0.37194859981536865, 0.38255244493484497, 0.3939703702926636, 0.40605428814888, 0.41826510429382324]","[0.0422639325261116, 0.0448852963745594, 0.045196302235126495, 0.045379579067230225, 0.04551286622881889, 0.045618388801813126]",0.024022364988923073,0.36032983660697937,0.0422639325261116,0.01824156753718853,1.0522279403980708,1.0572128610553908,0.9256227265351092,14,0.06328140765785717,0.055654415077684316
case_003_v2,"(0.8785595893859863, 0.19308502972126007)",0.04331877180523752,"[0.023486889898777008, 0.024943631142377853, 0.025116464123129845, 0.025218315422534943, 0.02529238536953926, 0.02535102516412735]","[0.36283135414123535, 0.3745307922363281, 0.38520824909210205, 0.39670541882514954, 0.40887323021888733, 0.42116883397102356]","[0.045143261551856995, 0.04794320836663246, 0.048275403678417206, 0.04847116768360138, 0.0486135333776474, 0.048726245760917664]",0.023486889898777008,0.36283135414123535,0.045143261551856995,0.021656371653079987,1.028773024016133,1.064552322654166,0.9886828397654663,15,0.05521865589585795,0.058207625790415274
case_004_v2,"(0.8433823585510254, 0.31547531485557556)",0.037919580617779516,"[0.024325964972376823, 0.02583474852144718, 0.026013756170868874, 0.02611924521625042, 0.026195961982011795, 0.02625669725239277]","[0.3498050272464752, 0.3610844314098358, 0.3713785409927368, 0.3824629485607147, 0.3941939175128937, 0.406048059463501]","[0.048016857355833054, 0.05099503695964813, 0.051348377019166946, 0.051556602120399475, 0.05170803144574165, 0.051827918738126755]",0.024325964972376823,0.3498050272464752,0.048016857355833054,0.02369089238345623,1.0655262343985166,1.0263328798244131,1.0516175480170749,12,0.06163523667802062,0.06258147228736655
case_005_v2,"(0.7748816609382629, 0.45673513412475586)",0.03988738037207228,"[0.020747007802128792, 0.0220338124781847, 0.022186484187841415, 0.02227645181119442, 0.022341880947351456, 0.02239368110895157]","[0.31726428866386414, 0.32749441266059875, 0.33683091402053833, 0.34688419103622437, 0.3575238883495331, 0.36827531456947327]","[0.04733160138130188, 0.05026727914810181, 0.0506155788898468, 0.05082083120942116, 0.05097009986639023, 0.051088277250528336]",0.020747007802128792,0.31726428866386414,0.04733160138130188,0.026584593579173088,0.9087607531574458,0.9308578984135096,1.036609790648491,12,0.05880981087192105,0.06147419791461739
case_006_v2,"(0.7325796484947205, 0.5279359221458435)",0.038403640235763266,"[0.022690990939736366, 0.024098370224237442, 0.024265345185995102, 0.024363745003938675, 0.02443530410528183, 0.02449195832014084]","[0.31966251134872437, 0.32996997237205505, 0.3393770456314087, 0.34950628876686096, 0.36022642254829407, 0.3710591197013855]","[0.042280443012714386, 0.04490283131599426, 0.045213960111141205, 0.045397307723760605, 0.04553064703941345, 0.04563621059060097]",0.022690990939736366,0.31966251134872437,0.042280443012714386,0.01958945207297802,0.9939111622551616,0.9378942718168571,0.9259843010670944,13,0.06387456852656304,0.05937473440979846
case_007_v2,"(0.6700669527053833, 0.5991520881652832)",0.04081217568545262,"[0.022543035447597504, 0.02394123747944832, 0.024107124656438828, 0.024204881861805916, 0.024275975301861763, 0.024332258850336075]","[0.36350733041763306, 0.37522855401039124, 0.38592588901519775, 0.397444486618042, 0.4096349775791168, 0.4219534695148468]","[0.04748881980776787, 0.05043425038456917, 0.050783704966306686, 0.05098963901400566, 0.051139406859874725, 0.05125797167420387]",0.022543035447597504,0.36350733041763306,0.04748881980776787,0.024945784360170364,0.9874303837744662,1.0665356392115677,1.04005302040045,14,0.057432272666159134,0.06100350807461652
case_008_v2,"(0.6164449453353882, 0.6565920114517212)",0.044972762848880486,"[0.023663274943828583, 0.02513095736503601, 0.025305088609457016, 0.0254077035933733, 0.025482330471277237, 0.025541411712765694]","[0.31627336144447327, 0.3264715373516083, 0.3357788920402527, 0.3458007574081421, 0.3564072251319885, 0.3671250641345978]","[0.04291956126689911, 0.04558159038424492, 0.04589742049574852, 0.046083539724349976, 0.04621889442205429, 0.046326056122779846]",0.023663274943828583,0.31627336144447327,0.04291956126689911,0.019256286323070526,1.036499100794995,0.927950496721862,0.9399816404950216,16,0.05508513924711178,0.05503559732007146
case_009_v2,"(0.5186103582382202, 0.7395819425582886)",0.0367179511030396,"[0.024111809208989143, 0.025607310235500336, 0.025784742087125778, 0.025889301672577858, 0.025965344160795212, 0.026025544852018356]","[0.3380294442176819, 0.34892913699150085, 0.3588767349720001, 0.3695879876613617, 0.3809240758419037, 0.39237916469573975]","[0.04628774896264076, 0.04915868118405342, 0.04949929937720299, 0.04970002546906471, 0.04984600096940994, 0.04996157065033913]",0.024111809208989143,0.3380294442176819,0.04628774896264076,0.02217593975365162,1.0561458062043936,0.991783155107668,1.0137482391905788,13,0.06610765244872052,0.06051054508135345
case_010_v2,"(0.370206356048584, 0.8209547996520996)",0.04330369100986994,"[0.02269802615046501, 0.024105839431285858, 0.024272868409752846, 0.024371296167373657, 0.024442879483103752, 0.024499550461769104]","[0.3452768921852112, 0.35641026496887207, 0.3665711283683777, 0.37751203775405884, 0.3890911638736725, 0.40079188346862793]","[0.0480799674987793, 0.05106206238269806, 0.05141586810350418, 0.0516243651509285, 0.05177599564194679, 0.05189603939652443]",0.02269802615046501,0.3452768921852112,0.0480799674987793,0.025381941348314285,0.9942192412286266,1.0130472212962378,1.0529997714832051,14,0.05693285540571902,0.05652356565144789
