case_id,edema_center_x,edema_center_y,edema_radius,sigma_fat_10khz,sigma_muscle_10khz,sigma_edema_10khz,delta_sigma_10khz,edema_elements,dv_shape,J_shape,best_epoch,best_loss,final_supervised_loss,final_data_loss,final_smoothness_loss,pred_delta_min,pred_delta_max,pred_delta_mean
case_002_v2,0.898526132106781,0.10721287876367569,0.04056197036348872,0.024022364988923073,0.36032983660697937,0.0422639325261116,0.01824156753718853,14,"(1040,)","(1040, 7901)",19314,0.0002739186747930944,4.211555051369942e-07,1.3881120697334381e-09,3.9643578020331915e-07,0.0,0.01824156753718853,5.5416752729797736e-05
case_003_v2,0.8785595893859863,0.19308502972126007,0.04331877180523752,0.023486889898777008,0.36283135414123535,0.045143261551856995,0.021656371653079987,15,"(1040,)","(1040, 7901)",4146,0.0005067032179795206,8.044355581660056e-07,2.6286650633977615e-09,5.747828595303872e-07,0.0,0.021656371653079987,7.70939514040947e-05
case_004_v2,0.8433823585510254,0.31547531485557556,0.037919580617779516,0.024325964972376823,0.3498050272464752,0.048016857355833054,0.02369089238345623,12,"(1040,)","(1040, 7901)",8574,0.0005061529809609056,7.86219175097358e-07,1.0440389885957302e-08,7.293174348887987e-07,0.0,0.02369089238345623,7.098483911249787e-05
case_005_v2,0.7748816609382629,0.45673513412475586,0.03988738037207228,0.020747007802128792,0.31726428866386414,0.04733160138130188,0.026584593579173088,12,"(1040,)","(1040, 7901)",4409,0.0006969490787014365,1.0780463526316453e-06,2.556857170432636e-09,1.1339511729602236e-06,0.0,0.026584593579173088,8.11788413557224e-05
case_006_v2,0.7325796484947205,0.5279359221458435,0.038403640235763266,0.022690990939736366,0.31966251134872437,0.042280443012714386,0.01958945207297802,13,"(1040,)","(1040, 7901)",13147,0.0002660669561009854,4.844539489567978e-07,1.2875079891117025e-09,5.453108542496921e-07,0.0,0.01958945207297802,5.73110519326292e-05
case_007_v2,0.6700669527053833,0.5991520881652832,0.04081217568545262,0.022543035447597504,0.36350733041763306,0.04748881980776787,0.024945784360170364,14,"(1040,)","(1040, 7901)",9160,0.0005994477542117238,4.958211866323836e-05,1.0466506772388584e-08,7.902594347797276e-07,0.0,0.024945784360170364,7.310571527341381e-05
case_008_v2,0.6164449453353882,0.6565920114517212,0.044972762848880486,0.023663274943828583,0.31627336144447327,0.04291956126689911,0.019256286323070526,16,"(1040,)","(1040, 7901)",5365,0.0003634211025200784,5.626496886179666e-07,1.1283577627807517e-08,5.06361516272591e-07,0.0,0.019256286323070526,6.843297160230577e-05
case_009_v2,0.5186103582382202,0.7395819425582886,0.0367179511030396,0.024111809208989143,0.3380294442176819,0.04628774896264076,0.02217593975365162,13,"(1040,)","(1040, 7901)",13734,0.00032347883097827435,4.493635515245842e-06,1.2295879869839155e-09,4.6813559606562194e-07,0.0,0.02217593975365162,5.5414839152945206e-05
case_010_v2,0.370206356048584,0.8209547996520996,0.04330369100986994,0.02269802615046501,0.3452768921852112,0.0480799674987793,0.025381941348314285,14,"(1040,)","(1040, 7901)",19972,0.00042423163540661335,6.523159186144767e-07,1.4329024189407846e-08,7.675745905544318e-07,0.0,0.025381941348314285,7.068253034958616e-05
case_011_v2,0.3102928400039673,0.8480920195579529,0.04112792965586955,0.021934837102890015,0.30884772539138794,0.045082103461027145,0.02314726635813713,15,"(1040,)","(1040, 7901)",19840,0.00048511201748624444,7.459508424290107e-07,1.5520331686502686e-08,6.384524908753519e-07,0.0,0.02314726635813713,7.617686060257256e-05
case_012_v2,0.19214721024036407,0.8794957399368286,0.044928747720903425,0.02161516807973385,0.3107212781906128,0.04366359859704971,0.022048430517315865,16,"(1040,)","(1040, 7901)",20000,1.3754370797869342e-07,6.415312074972701e-13,3.1966140845440805e-09,4.1351151480739645e-07,0.0,0.022048430517315865,4.466227619559504e-05
case_013_v2,0.02136853151023388,0.8926812410354614,0.037504593798615565,0.02412627823650837,0.35203057527542114,0.044805124402046204,0.020678846165537834,11,"(1040,)","(1040, 7901)",19981,0.0005278982571326196,8.118254299915861e-07,7.669406443255866e-09,6.545204200847365e-07,0.0,0.020678846165537834,6.80608645780012e-05
