case_id,edema_center,edema_radius,sigma_fat,sigma_muscle,sigma_edema,delta_sigma_max,estimated_edema_elements
case_001,"(0.9347614049911499, 0.02318870648741722)",0.08447408062937295,0.023205406613646236,0.3358437339031396,0.048227381279202446,0.02502197466555621,56
case_002,"(0.9251155257225037, 0.16766680777072906)",0.0768512328052432,0.020363699983772403,0.3366262437768986,0.04383718221809323,0.02347348223432083,46
case_003,"(0.8958521485328674, 0.17835023999214172)",0.08879602617951785,0.02175102247484026,0.3214522330813649,0.04549126308314252,0.02374024060830226,66
case_004,"(0.7759422659873962, 0.3524807393550873)",0.08559492730979452,0.023135586056375647,0.3301077658328311,0.049236282219554124,0.026100696163178477,47
case_005,"(0.8307849168777466, 0.4819369912147522)",0.08340954013400811,0.021853572416398948,0.3089786560735316,0.04188860542860793,0.02003503301220898,44
case_006,"(0.7827613353729248, 0.5233049392700195)",0.0634148747267015,0.02123363157580787,0.33119126001037114,0.04472600230148227,0.0234923707256744,32
case_007,"(0.60768061876297, 0.6161026954650879)",0.06018609463696134,0.022881166448809897,0.3272409316139788,0.04799033821255681,0.025109171763746916,29
case_008,"(0.6278489828109741, 0.6698320508003235)",0.086150084537639,0.02280298021748989,0.3155031688854331,0.04229917382227597,0.01949619360478608,59
case_009,"(0.47088080644607544, 0.7563526630401611)",0.07844619251638066,0.022902727665955875,0.3590895741094938,0.04463024197984506,0.021727514313889185,49
case_010,"(0.36409246921539307, 0.7874547243118286)",0.07134846544845189,0.02228703886851723,0.35801992230428975,0.04621246488000531,0.023925426011488084,40
case_011,"(0.27441906929016113, 0.812669575214386)",0.0904711997624308,0.01993559847209893,0.33569678246780066,0.042431262055375764,0.022495663583276832,57
case_012,"(0.1564365029335022, 0.9215623736381531)",0.0712070899021831,0.02005653206343189,0.3251341046574958,0.043142343819900154,0.023085811756468264,40
case_013,"(0.09296103566884995, 0.8847927451133728)",0.08195335778876928,0.022722979577440506,0.3336343065779248,0.04782618346199431,0.025103203884553806,52
case_014,"(-0.07675889879465103, 0.8749825358390808)",0.064000157912312,0.020509595827747848,0.34007104470702876,0.041870808924418516,0.02136121309667067,30
case_015,"(-0.1257559061050415, 0.9143515825271606)",0.09405774489599447,0.02112665319225066,0.34885921633208444,0.04375631349498051,0.022629660302729854,67
case_016,"(-0.28898799419403076, 0.8132966160774231)",0.06420849763934627,0.020969827830421884,0.37190399365964527,0.04750875813569216,0.026538930305270273,34
case_017,"(-0.3548676669597626, 0.8337082266807556)",0.054887180569792415,0.020224120233475397,0.3673769629649813,0.044601986608502495,0.024377866375027098,23
case_018,"(-0.5101818442344666, 0.7569417357444763)",0.06308604758538175,0.02057780024493262,0.36424977131828157,0.047326675768516895,0.026748875523584275,33
case_019,"(-0.5318516492843628, 0.6569271683692932)",0.05644097880163105,0.02237003106321604,0.35018956890572783,0.041259998890259005,0.018889967827042966,23
case_020,"(-0.6678215861320496, 0.5631380677223206)",0.07276897408052568,0.020254973057979228,0.3459598309080844,0.042035336716831975,0.021780363658852747,44
case_021,"(-0.6757140159606934, 0.4932345747947693)",0.08587778977126861,0.022400028162518234,0.30755066323001945,0.049127032919173017,0.026727004756654783,45
case_022,"(-0.7594203352928162, 0.40862464904785156)",0.065776811068702,0.021941296655687906,0.3393680756161075,0.04894043809477485,0.026999141439086945,32
case_023,"(-0.8611000776290894, 0.40235012769699097)",0.08870897507263326,0.02125890358830723,0.3414057233680646,0.04445020314274542,0.023191299554438192,49
case_024,"(-0.893229067325592, 0.2088450789451599)",0.05328019594953555,0.020417095991593887,0.3436744577606554,0.04147718167021899,0.021060085678625107,21
case_025,"(-0.8745688199996948, 0.0642966702580452)",0.07106541051044643,0.022998776302862282,0.3582680294504007,0.041469668513603064,0.01847089221074078,43
case_026,"(-0.8956554532051086, -0.05102956295013428)",0.05390965947910771,0.02345107486978262,0.3609611001003726,0.04335425003540444,0.01990317516562182,22
case_027,"(-0.9616735577583313, -0.06595418602228165)",0.06328130890019747,0.020926246398497453,0.3696509627633296,0.04198147035823816,0.02105522395974071,27
case_028,"(-0.8302093148231506, -0.2575138807296753)",0.0687257934251192,0.02372337997152162,0.3569053453230726,0.04851713241790673,0.024793752446385108,37
